customer_id,date,consumption,billing_amount,customer_type,meter_type,location,fraud_class
C10093,2022-08-08,,192.67683603137246,Commercial,Analog,Irbid_South,0
C10368,2018-10-28,20.33158826742553,35.497382401138296,Residential,Digital,Irbid_North,0
C10441,2022-05-10,34.106677155723304,56.160015733584956,Residential,Analog,Irbid_South,0
C10386,2022-04-10,13.407998111400993,25.11199716710149,Residential,Analog,Irbid_South,0
C10313,2020-07-19,39.319478752656224,63.979218128984336,Residential,Digital,Center,0
C10172,2020-05-20,38.85184275282135,63.277764129232025,Residential,Digital,Center,0
C10423,2020-05-20,91.74733409690727,142.6210011453609,Commercial,Analog,Center,0
C10382,2021-08-13,67.73023223981465,106.59534835972198,Commercial,Analog,Irbid_West,0
C10488,2022-04-10,20.776098151421976,36.164147227132965,Residential,Analog,Center,0
C10223,2020-02-20,19.227988654951744,33.841982982427616,Residential,Analog,Irbid_West,0
C10242,2018-01-01,20.22906506668745,35.343597600031174,Residential,Digital,Center,0
C10316,2019-08-24,35.545284868928626,58.317927303392935,Residential,Analog,Irbid_North,0
C10487,2021-06-14,44.555815406518036,71.83372310977705,Residential,Analog,Irbid_North,0
C10264,2022-01-10,12.932769343633868,24.399154015450804,Residential,Analog,Irbid_East,0
C10082,2020-06-19,0.4581380245226477,5.687207036783971,Residential,Analog,Center,1
C10019,2018-12-27,7.561500160966012,16.342250241449015,Residential,Analog,Irbid_East,0
C10319,2018-01-01,20.70267962292454,36.05401943438681,Residential,Analog,Center,0
C10246,2019-05-26,22.737222221517676,39.10583333227652,Residential,Analog,Center,0
C10227,2021-08-13,19.9756059477228,34.963408921584204,Residential,Digital,Irbid_North,0
C10416,2019-09-23,24.439926467405854,41.65988970110878,Residential,Analog,Irbid_North,0
C10209,2018-01-31,104.86679590107572,162.30019385161359,Industrial,Analog,Irbid_East,0
C10286,2019-07-25,23.77669556240044,40.66504334360066,Residential,Analog,Irbid_West,0
C10115,2020-08-18,43.20731015411743,69.81096523117614,Residential,Smart,Center,1
C10064,2020-02-20,8.928137170520095,18.392205755780143,Residential,Digital,Irbid_North,0
C10468,2019-10-23,27.413915643359903,46.12087346503986,Residential,Analog,Center,0
C10214,2019-10-23,22.318795076123326,38.47819261418499,Residential,Analog,Irbid_West,0
C10258,2018-01-31,22.483251432282636,38.72487714842396,Residential,Analog,Center,0
